artist,song_title,album_name,album_type,release_date
Smallgod,Holy F4k,Connecting the Dots,album,2022-05-06
Kirk Knight,Downtime,Iiwii,album,2018-11-16
Edo. G,Just Call My Name,My Own Worst Enemy,album,2004
Futuristic,I Guess I'll Smoke Again,I Guess I'll Smoke Again,single,2022-03-11
Meek Mill,Blue Notes,DC4,album,2016-10-28
Logic,Perfect,No Pressure,album,2020-07-24
Casey Veggies,Mirage,Organic,album,2019-06-07
Venna,Casa Lopez,Casa Lopez,single,2023-01-13
grandson,Oh No!!! (from The Suicide Squad),Oh No!!! (from The Suicide Squad),single,2021-07-02
Jay Rock,Shit Real (feat. Tee Grizzley),Redemption,album,2018-06-15
Nipsey Hussle,Face the World,Crenshaw,album,2013-10-22
Grim Delarosa,Table For One - Slowed and Reverb,Table For One (Slowed and Reverb),single,2023-01-02
Rawlsmatic,The Sun,The Sun,single,2023-01-06
Trae Tha Truth,Bring the Pain Freestyle,Bring the Pain Freestyle,single,2023-01-06
Murs,T-O-K-Y-O(Bullet Train Backflip),Guide To World's Greatest Cities,single,2023-01-06
Blackfoot505,All I Know Iz Go,All I Know Iz Go,single,2023-01-06
Whitney Peyton,Takes One To Know One,Takes One To Know One,single,2023-01-06
VP Mob$tar,Harder They Fall,Harder They Fall,single,2023-01-01
David Guetta,I'm Good (Blue) - Acoustic,I'm Good (Blue) [Acoustic],single,2023-01-06
Mr. Vegas,Dancing Queen - EDM Remix,Dancing Queen (EDM Remix),single,2023-01-06
Anweezy,Stop Hatin',Stop Hatin',single,2023-01-06
JOEYYG,lyïn2yu,lyïn2yu,single,2023-01-06
T-BEAT,Lovin,Lovin,single,2023-01-01
LGP QUA,Earned,Earned,single,2023-01-06
Rayven Justice,Off Top Off Rip (Remix) [feat. Mozzy & Fetty Wap],Off Top Off Rip (Remix) [feat. Mozzy & Fetty Wap],single,2023-01-06
Stormzy,Hide & Seek - FLO Remix,Hide & Seek (FLO Remix),single,2023-01-06
DJ Brisk,Happy New Year's Wit Ross,Happy New Year's Wit Ross,single,2023-01-01
War,Who I'm Rockin' wit,Who I'm Rockin' wit,single,2023-01-01
Nomyn,Flow,Flow,single,2020-12-18
Julian Avila,Drive,Drive,single,2017-10-16
Corinne Bailey Rae,Is This Love,The Love E.P.,single,2011-01-01
Wild Rivers,Thinking 'Bout Love,Songs to Break Up To,single,2020-05-01
JJ Grey & Mofro,Tupelo Honey,The Choice Cuts,album,2009-11-04
Cushy,Energizer,Energizer,single,2021-10-01
Laykit,1. You Have No Idea Of My Universe - Instrumental,Un0verse (Instrumental),single,2021-01-19
A P O L L O,Litty,Instafamous,album,2020-03-27
Sam Cooke,A Change Is Gonna Come,Ain't That Good News,album,1964-03-01
SOLDIERBEATZ,Hillian St.,Garage Sounds (Deluxe),album,2022-05-22
Hozier,Almost (Sweet Music),"Wasteland, Baby!",album,2019-03-01
Jordan Rakei,Alright,Groove Curse,single,2014-08-15
Push N' Glide,All Eyes on Me,Epidemic Presents: Crates (Geki Edition),compilation,2020-05-01
Brady Alan,Sunday Love,Sunday Love,single,2018-08-31
Ray LaMontagne,I Was Born To Love You,MONOVISION,album,2020-06-26
Thirdstory,Searching For A Feeling,Cold Heart,album,2018-03-09
Etta James,A Sunday Kind Of Love,At Last!,album,1960
Sam Cooke,That's Where It's At,Keep Movin' On,compilation,1960-01-01
Bonkers Beat Club,Fifteen on Me,Love Is Love,single,2019-09-27
Leon Bridges,River,Coming Home (Deluxe),album,2015-06-23
Cushy,Fluorescent,Sense,single,2020-04-10
Leon Bridges,Beyond,Good Thing,album,2018-05-04
